RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,17.534,1,3.7734,0.092031,0,0
0.2,ABM,21.386,1,3.5646,0.092031,0,0
0.2,Reverie,18.304,1,3.5662,0.092031,0,0
0.4,DT,15.611,1,4.237,1.0219,0,0
0.4,ABM,21.234,29,4.2318,1.0219,0,0
0.4,Reverie,18.196,13,4.2406,1.0219,0,0
0.6,DT,12.529,1,4.3224,2.5457,0,0
0.6,ABM,21.682,281,4.3814,2.5547,0,0
0.6,Reverie,17.686,1,4.2741,2.5288,0,0
0.8,DT,9.9944,1,14.164,8.8361,0,0
0.8,ABM,23.072,52177,14.887,8.7631,0.24984,0
0.8,Reverie,17.635,65,14.146,8.8319,0,0
