RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.6263,661,11.141,27.341,0,0
500000,ABM,2.3784,143361,9.4808,15.393,0,4312
500000,Reverie,2.6461,305,11.114,27.751,0,0
1000000,DT,2.6957,6233,12.12,30.379,0,0
1000000,ABM,2.3634,148797,8.8118,15.517,0,5240
1000000,Reverie,2.7043,1601,12.234,31.038,0,0
1500000,DT,2.77,7381,12.674,31.44,0,0
1500000,ABM,2.4097,163393,8.9824,16.093,0,5420
1500000,Reverie,2.7637,5233,12.648,32.832,0,0
2500000,DT,2.9699,19845,14.982,41.427,0,0
2500000,ABM,2.5531,188189,10.689,18.298,0,8384
2500000,Reverie,2.9652,9797,14.535,42.657,0,0
