RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.0537,1,7.4578,1.3969,0,0
500000,ABM,2.0527,941,7.4152,1.4068,0,0
500000,Reverie,2.0532,1,7.3505,1.3667,0,0
1000000,DT,2.0705,1,7.4624,1.5302,0,0
1000000,ABM,2.0692,1033,7.4757,1.4943,0,0
1000000,Reverie,2.0671,1,7.3381,1.5124,0,0
1500000,DT,2.0838,1,7.6094,1.5328,0,0
1500000,ABM,2.0809,1053,7.5832,1.5233,0,0
1500000,Reverie,2.0836,1,7.6201,1.5328,0,0
2500000,DT,2.1152,1,7.9993,1.5645,0,0
2500000,ABM,2.1121,1093,7.8924,1.5328,0,0
2500000,Reverie,2.116,1,7.8545,1.5947,0,0
