TCP Load,Algorithm,TCP Background FCT Slowdown Avg,PFC Pauses,TCP Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,2.162,6325,10.304,7.2869,26.65,0
0.2,ABM,1.8821,25705,8.3782,9.3338,26.067,0
0.2,Reverie,1.9796,3153,9.3049,6.3044,32.646,0
0.4,DT,3.1123,9001,15.825,20.305,29.232,0
0.4,ABM,2.5364,26077,9.2731,14.41,29.232,0
0.4,Reverie,2.7328,4413,11.027,18.995,37.227,0
0.6,DT,4.4685,10009,28.856,23.826,29.565,0
0.6,ABM,3.7135,26569,14.921,15.898,29.565,4192
0.6,Reverie,4.1071,5325,16.016,23.989,38.477,0
0.8,DT,8.0921,16381,57.546,28.355,29.648,0
0.8,ABM,6.8578,30721,40.619,17.03,29.648,7336
0.8,Reverie,7.4356,6617,43.519,29.136,39.559,0
