Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes)
3.44,DT,4.1162,2.4013,103905,52.277,9432
3.44,ABM,3.5006,2.0606,289305,33.877,21320
3.44,Reverie,3.8352,2.4562,31225,54.268,0
5.12,DT,4.2441,2.5529,31877,54.499,1048
5.12,ABM,3.7483,2.3669,193489,35.592,16768
5.12,Reverie,4.1717,2.4443,12077,57.708,0
7,DT,4.4353,2.6375,16937,54.031,0
7,ABM,3.9366,2.5762,145845,35.665,12576
7,Reverie,4.4679,2.6437,6837,57.087,0
9.6,DT,4.7514,2.8329,11229,52.849,0
9.6,ABM,4.0223,2.7763,108009,34.039,8384
9.6,Reverie,4.813,2.7938,2629,55.642,0
