TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (TCP),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,16.647,6325,14.117,7.2869,26.65,0
0.2,ABM,16.795,25705,8.6002,9.3338,26.067,0
0.2,Reverie,16.703,3153,10.069,6.3044,32.646,0
0.4,DT,18.344,9001,23.693,20.305,29.232,0
0.4,ABM,18.788,26077,8.2972,14.41,29.232,0
0.4,Reverie,18.089,4413,10.422,18.995,37.227,0
0.6,DT,19.068,10009,48.276,23.826,29.565,0
0.6,ABM,19.655,26569,8.9397,15.898,29.565,4192
0.6,Reverie,19.093,5325,10.96,23.989,38.477,0
0.8,DT,19.833,16381,66.797,28.355,29.648,0
0.8,ABM,20.03,30721,10.131,17.03,29.648,7336
0.8,Reverie,19.474,6617,12.587,29.136,39.559,0
