TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (RDMA),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
12500,DT,0.87309,1,12.102,8.5642,0,0
12500,ABM,0.87578,39645,12.606,8.5489,0,0
12500,Reverie,0.87237,1,11.969,8.6066,0,0
500000,DT,30.242,1,12.351,8.6701,0,0
500000,ABM,7.0768,42305,13.458,8.5859,0,0
500000,Reverie,7.0779,1,12.77,8.6436,0,0
1000000,DT,12.74,1,12.782,8.6753,0,0
1000000,ABM,26.981,46713,13.806,8.6589,0,0
1000000,Reverie,26.439,69,13.645,8.7716,0,0
2000000,DT,9.3374,1,14.672,8.9583,0.83281,0
2000000,ABM,21.685,55745,15.86,8.8819,5.2467,0
2000000,Reverie,13.534,109,15.15,8.9472,0.33313,0
