Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (TCP),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,19.961,10305,168.19,30.048,7.412,0
0.2,ABM,20.3,46785,4.8861,17.603,7.412,6288
0.2,Reverie,19.742,11861,12.31,28.656,39.642,0
0.4,DT,19.854,13985,82.749,29.148,14.824,0
0.4,ABM,20.397,48813,6.4777,17.447,14.824,7336
0.4,Reverie,19.742,11861,12.31,28.656,39.642,0
0.6,DT,19.882,20613,73.373,28.492,22.236,0
0.6,ABM,20.435,50969,8.3158,17.194,22.236,7336
0.6,Reverie,19.742,11861,12.31,28.656,39.642,0
0.8,DT,19.833,16381,66.797,28.355,29.648,0
0.8,ABM,20.03,30721,10.131,17.03,29.648,7336
0.8,Reverie,19.474,6617,12.587,29.136,39.559,0
