Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes)
3.44,DT,3.8907,2.4849,147825,50.093,6288
3.44,ABM,3.4981,2.1381,867049,28.111,19163
3.44,Reverie,3.7195,2.4187,83885,50.216,0
5.12,DT,4.2306,2.7805,67961,54.224,0
5.12,ABM,3.7409,2.3478,526637,27.428,13624
5.12,Reverie,4.1893,2.5435,20833,54.308,0
7,DT,4.4137,2.8981,14621,50.33,0
7,ABM,3.8508,2.5378,359273,25.99,10480
7,Reverie,4.3596,2.7617,9013,50.563,0
9.6,DT,4.6639,2.9836,7057,44.19,0
9.6,ABM,3.9578,2.7017,273801,23.75,7396
9.6,Reverie,4.6465,2.8957,2545,45.155,0
