TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (TCP),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,12.653,31225,14.912,26.896,27.483,0
0.2,ABM,22.181,57785,11.037,8.9244,22.777,0
0.2,Reverie,12.133,6449,13.462,27.142,28.482,0
0.4,DT,15.707,38589,18.232,26.2,31.938,0
0.4,ABM,22.012,65145,11.405,9.4156,25.068,0
0.4,Reverie,14.515,15989,14.047,27.183,31.98,0
0.6,DT,18.565,68353,25.899,28.697,35.461,0
0.6,ABM,22.106,99441,11.853,10.521,26.275,0
0.6,Reverie,16.673,40545,14.986,31.522,34.812,0
0.8,DT,21.784,87990,58.858,27.996,37.804,0
0.8,ABM,21.956,110151,11.971,12.036,27.899,0
0.8,Reverie,20.515,63423,15.787,31.031,37.518,0
