RDMA Burst Size,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (TCP),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,7.3089,1,51.032,0.043281,37.789,0
500000,ABM,7.312,29,11.509,0.043281,27.649,0
500000,Reverie,7.326,1,15.324,0.043281,37.117,0
1000000,DT,10.266,2937,58.28,7.2358,37.81,0
1000000,ABM,10.222,66245,11.784,6.9727,27.816,0
1000000,Reverie,10.225,369,15.368,7.1473,37.227,0
1500000,DT,15.277,49693,60.763,20.586,37.768,0
1500000,ABM,24.148,86345,11.766,10.562,27.858,0
1500000,Reverie,13.449,30421,15.588,21.917,37.268,0
2500000,DT,23.169,97057,61.679,28.534,37.892,0
2500000,ABM,21.254,162033,12.242,17.726,27.983,4614.9
2500000,Reverie,22.946,73601,15.721,32.968,37.435,0
