RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,29.772,1,3.5609,0.19437,12.348,0
0.2,ABM,10.518,5,3.5865,0.17719,19.696,0
0.2,Reverie,10.351,9,3.5779,0.17719,19.764,0
0.4,DT,29.173,1,3.8417,1.0403,11.035,0
0.4,ABM,10.471,85,3.8988,1.0282,18.499,0
0.4,Reverie,10.267,25,3.8986,1.0282,18.541,0
0.6,DT,28.419,1,4.3546,1.7031,9.8272,0
0.6,ABM,10.543,577,4.3879,1.6949,16.958,0
0.6,Reverie,10.293,21,4.3807,1.6984,17.041,0
0.8,DT,29.143,1,14.985,7.9597,8.1616,0
0.8,ABM,10.939,122705,16.214,8.0229,15.422,0
0.8,Reverie,10.657,273,15.592,8.0255,15.515,0
