TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (RDMA),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
12500,DT,0.66106,1,13.079,7.8539,0,0
12500,ABM,0.66158,90569,13.83,7.8449,0,0
12500,Reverie,0.66216,1,13.031,7.8534,0,0
500000,DT,6.4201,1,13.796,7.8745,0.2082,0
500000,ABM,6.401,100193,14.267,7.8986,0.2082,0
500000,Reverie,6.3992,1,13.512,7.8891,0.2082,0
1000000,DT,17.223,1,14.521,7.9123,5.9752,0
1000000,ABM,9.1035,111509,15.244,7.9597,6.2461,0
1000000,Reverie,9.0701,5,14.646,7.9287,6.2538,0
2000000,DT,23.391,1,15.566,7.9515,9.248,0
2000000,ABM,30.29,126129,16.656,7.9377,17.073,0
2000000,Reverie,29.152,513,16.11,7.9837,22.736,0
