Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (TCP),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,17.261,69493,81.977,37.417,9.7855,0
0.2,ABM,21.978,110005,5.5157,12.281,7.3288,0
0.2,Reverie,20.42,63425,15.81,30.826,37.435,0
0.4,DT,20.043,74137,65.259,33.773,19.321,0
0.4,ABM,21.925,110657,7.6797,12.077,14.408,0
0.4,Reverie,20.42,63425,15.81,30.826,37.435,0
0.6,DT,21.469,80861,60.631,30.13,28.649,0
0.6,ABM,21.908,110085,9.9463,11.995,21.278,0
0.6,Reverie,20.42,63425,15.81,30.826,37.435,0
0.8,DT,21.784,87990,58.858,27.996,37.804,0
0.8,ABM,21.956,110151,11.971,12.036,27.899,0
0.8,Reverie,20.515,63423,15.787,31.031,37.518,0
