RDMA Load,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,1.7514,32197,8.6608,30.551,0,0
0.2,ABM,1.6584,103809,6.9825,11.997,0,0
0.2,Reverie,1.7596,3173,8.5773,30.705,0,0
0.4,DT,2.7863,37889,12.858,36.819,0,0
0.4,ABM,2.4846,370241,9.2907,13.714,0,5240
0.4,Reverie,2.811,10589,13.42,38.535,0,0
0.6,DT,5.1505,59293,27.745,52.986,0,0
0.6,ABM,3.7708,1248561,13.021,16.101,0,12576
0.6,Reverie,5.164,34201,27.416,52.826,0,0
0.8,DT,13.743,305241,92.04,66.058,0,13564
0.8,ABM,7.8046,5161509,31.989,22.026,0,32220
0.8,Reverie,13.589,143945,89.375,65.602,0,10388
