RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.4964,9,9.8359,16.504,0,0
500000,ABM,2.3041,315173,8.1173,11.266,0,4192
500000,Reverie,2.4897,53,9.7637,16.58,0,0
1000000,DT,2.5854,277,10.461,19.843,0,0
1000000,ABM,2.3818,345865,8.6477,12.428,0,4492
1000000,Reverie,2.5874,97,10.565,19.693,0,0
1500000,DT,2.6884,2321,11.604,26.373,0,0
1500000,ABM,2.442,316257,9.0434,13.61,0,4192
1500000,Reverie,2.6859,1693,11.623,26.493,0,0
2500000,DT,2.8617,54525,13.807,43.726,0,0
2500000,ABM,2.55,414813,9.8316,14.712,0,6288
2500000,Reverie,2.9146,53161,14.634,45.29,0,0
