RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,1.9999,1,6.3509,1.7457,0,0
500000,ABM,2.0012,7561,6.326,1.7416,0,0
500000,Reverie,1.9989,1,6.4219,1.7457,0,0
1000000,DT,2.0416,1,6.7155,5.9609,0,0
1000000,ABM,2.0431,8677,6.77,5.5777,0,0
1000000,Reverie,2.0417,1,6.7397,5.9709,0,0
1500000,DT,2.0599,1,6.7869,5.9958,0,0
1500000,ABM,2.0635,8801,6.8818,5.6203,0,0
1500000,Reverie,2.06,1,6.8749,5.9609,0,0
2500000,DT,2.0962,1,7.0681,5.9705,0,0
2500000,ABM,2.0951,9253,7.1318,5.5777,0,0
2500000,Reverie,2.0943,1,7.0801,5.9644,0,0
