TCP Load,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (TCP),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,21.355,25809,13.446,43.557,23.243,0
0.2,ABM,27.485,64393,11.991,16.866,23.36,0
0.2,Reverie,20.832,12977,13.788,44.458,26.858,0
0.4,DT,24.408,46397,24.069,49.125,27.899,0
0.4,ABM,30.333,83961,14.77,21.738,27.983,0
0.4,Reverie,23.752,24325,16.62,50.23,33.146,0
0.6,DT,27.292,51757,40.688,50.967,29.664,0
0.6,ABM,31.894,91569,15.658,24.931,29.815,0
0.6,Reverie,26.226,28053,18.286,52.564,36.894,0
0.8,DT,31.776,49409,78.962,47.499,30.16,0
0.8,ABM,33.003,93477,19.633,27.142,30.189,1048
0.8,Reverie,30.78,32381,20.747,47.938,38.684,0
