RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (RDMA),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,30.764,1,4.0182,0.049453,4.8303,0
0.2,ABM,11.486,1,3.8008,0.046016,24.537,0
0.2,Reverie,11.486,1,3.9607,0.046016,24.745,0
0.4,DT,29.316,1,4.2366,0.62914,4.5709,0
0.4,ABM,12.068,33,4.368,0.59609,26.744,0
0.4,Reverie,12.03,1,4.4098,0.59609,26.993,0
0.6,DT,28.301,1,4.6854,1.4484,4.3234,0
0.6,ABM,12.737,405,4.7348,1.423,27.993,0
0.6,Reverie,12.678,1,4.6753,1.4196,28.243,0
0.8,DT,30.467,1,21.165,5.0858,8.0587,0
0.8,ABM,16.006,74181,22.962,5.1715,35.738,0
0.8,Reverie,15.757,233,22.787,5.212,36.032,0
