TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
12500,DT,0.75338,1,16.116,4.6013,0,0
12500,ABM,0.75554,27133,16.564,4.618,0,0
12500,Reverie,0.75443,1,15.852,4.6066,0,0
500000,DT,10.157,1,17.623,4.7526,0,0
500000,ABM,10.045,37593,17.803,4.7484,0,0
500000,Reverie,10.047,1,17.377,4.7703,0,0
1000000,DT,43.068,1,19.796,4.916,6.5792,0
1000000,ABM,13.921,53497,20.463,4.9015,15.802,0
1000000,Reverie,13.789,9,19.93,4.9255,15.844,0
2000000,DT,23.899,1,24.012,5.2704,9.2859,0
2000000,ABM,37.237,91161,25.729,5.4632,36.852,0
2000000,Reverie,38.283,625,25.521,5.5505,45.971,0
