Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (TCP),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,28.008,82785,129.2,57.149,7.537,0
0.2,ABM,33.035,224713,7.5077,28.533,7.549,1048
0.2,Reverie,31.001,70961,21.689,47.871,38.892,0
0.4,DT,30.384,88161,84.489,53.751,15.116,0
0.4,ABM,33.045,201869,12.253,27.878,15.116,1048
0.4,Reverie,31.001,70961,21.689,47.871,38.892,0
0.6,DT,32.021,96489,84.522,50.558,22.652,0
0.6,ABM,33.011,188341,16.447,27.346,22.652,1048
0.6,Reverie,31.001,70961,21.689,47.871,38.892,0
0.8,DT,31.776,49409,78.962,47.499,30.16,0
0.8,ABM,33.003,93477,19.633,27.142,30.189,1048
0.8,Reverie,30.78,32381,20.747,47.938,38.684,0
