RDMA Load,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,2.0352,15889,17.528,42.984,0,0
0.2,ABM,1.7497,87209,8.9317,13.509,0,0
0.2,Reverie,2.0583,8937,17.459,44.469,0,0
0.4,DT,3.3336,41273,22.522,54.283,0,0
0.4,ABM,2.6765,283601,12.11,16.825,0,5240
0.4,Reverie,3.3503,23797,23.341,58.514,0,0
0.6,DT,7.4844,139781,45.767,65.03,0,7336
0.6,ABM,4.6087,995741,20.971,24.505,0,13744
0.6,Reverie,7.7722,72081,47.757,70.323,0,5240
0.8,DT,17.302,415517,104.76,69.951,0,22756
0.8,ABM,8.4426,2477229,34.703,30.783,0,25392
0.8,Reverie,18.585,734821,111.98,99.999,0,37848
