RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.5637,29,10.446,14.39,0,0
500000,ABM,2.2789,208709,8.3054,8.9244,0,3144
500000,Reverie,2.5678,25,10.561,14.524,0,0
1000000,DT,2.8057,993,13.246,23.298,0,0
1000000,ABM,2.4593,246097,10.208,11.764,0,3949.8
1000000,Reverie,2.7831,649,13.15,23.841,0,0
1500000,DT,3.0494,7137,17.482,41.043,0,0
1500000,ABM,2.5981,212361,11.186,14.818,0,3144
1500000,Reverie,3.0642,3425,17.79,43.326,0,0
2500000,DT,3.4423,49473,22.726,57.073,0,0
2500000,ABM,2.8697,328041,14.308,22.934,0,8384
2500000,Reverie,3.5103,41061,24.641,62.121,0,0
