RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,1.9662,1,6.1777,1.107,0,0
500000,ABM,1.9665,3521,6.1411,1.107,0,0
500000,Reverie,1.9629,1,6.1104,1.107,0,0
1000000,DT,2.0527,1,7.1188,2.0956,0,0
1000000,ABM,2.0457,4341,7.0147,2.0768,0,0
1000000,Reverie,2.0471,1,7.0062,2.1287,0,0
1500000,DT,2.0912,1,7.3947,2.3089,0,0
1500000,ABM,2.0895,4869,7.4632,2.1715,0,0
1500000,Reverie,2.0888,1,7.5706,2.3781,0,0
2500000,DT,2.1772,1,8.2657,2.4007,0,0
2500000,ABM,2.1725,5433,8.1506,2.2992,0,0
2500000,Reverie,2.1802,1,8.2992,2.3912,0,0
