TCP Load,Algorithm,TCP Background FCT Slowdown Avg,PFC Pauses,TCP Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,1.6642,3965,5.5635,32.504,7.1622,0
0.2,ABM,1.6593,84157,5.4138,13.059,7.1205,2096
0.2,Reverie,1.6667,1825,5.5507,32.504,7.1293,0
0.4,DT,2.1078,7273,6.6435,30.908,10.119,0
0.4,ABM,2.1094,97741,6.8024,12.854,10.16,4192
0.4,Reverie,2.1073,2037,6.5531,30.99,10.083,0
0.6,DT,2.7167,17861,10.013,30.703,12.742,0
0.6,ABM,2.7099,107585,10.259,12.523,12.659,6288
0.6,Reverie,2.7084,4481,10.021,30.744,12.575,0
0.8,DT,4.926,37873,35.285,31.317,16.032,0
0.8,ABM,4.9691,112017,35.827,12.527,15.907,5240
0.8,Reverie,4.9556,19437,35.702,31.849,15.63,0
