Buffer Size (KB/port/Gbps),Algorithm,RDMA Background FCT Slowdown Avg,TCP Background FCT Slowdown Avg,PFC Pauses,Total Buffer 99% (%),Headroom Buffer 99% (Bytes)
3.44,DT,3.3995,1.9831,210653,46.957,9432
3.44,ABM,3.4057,2.0247,1784949,25.197,27467
3.44,Reverie,3.4299,2.0531,156253,49.145,1438.7
5.12,DT,3.4077,1.985,28885,46.59,0
5.12,ABM,3.5267,2.0136,922541,21.258,17996
5.12,Reverie,3.472,1.994,23993,47.929,0
7,DT,3.4666,1.9846,5453,39.58,0
7,ABM,3.468,2.0088,578545,18.479,13624
7,Reverie,3.4891,1.989,4501,39.774,0
9.6,DT,3.5204,1.9883,2169,31.398,0
9.6,ABM,3.3804,1.9937,392049,15.8,9552
9.6,Reverie,3.5564,1.988,1769,31.229,0
