RDMA Load,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,31.215,1,3.4363,0.5612,16.649,0
0.2,ABM,9.996,17,3.4184,0.55352,23.775,0
0.2,Reverie,9.7146,1,3.414,0.55352,23.863,0
0.4,DT,30.242,1,4.0953,1.4321,16.367,0
0.4,ABM,10.082,105,4.116,1.4223,22.903,0
0.4,Reverie,9.7332,29,4.1125,1.4223,22.974,0
0.6,DT,30.42,1,4.702,1.9821,16.157,0
0.6,ABM,10.076,721,4.7312,1.9689,22.224,0
0.6,Reverie,9.8697,209,4.7262,1.9689,22.276,0
0.8,DT,30.382,1,12.578,12.694,18.488,0
0.8,ABM,10.706,595405,13.269,12.631,22.998,1090
0.8,Reverie,10.537,1177,12.514,12.571,23.038,0
