TCP Burst Size,Algorithm,TCP Incast FCT Slowdown Avg,PFC Pauses,RDMA Short FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
12500,DT,0.66675,1,11.1,12.04,0,0
12500,ABM,0.6653,415705,11.849,12.206,0,0
12500,Reverie,0.66606,1,10.819,11.978,0,0
500000,DT,6.2058,1,11.753,12.372,0,0
500000,ABM,6.2118,549841,12.618,12.553,0,528
500000,Reverie,6.2068,1,11.791,12.42,0,0
1000000,DT,9.0184,1,12.136,12.548,10.743,0
1000000,ABM,8.8553,588221,13.205,12.567,10.761,1090
1000000,Reverie,8.7289,41,12.006,12.526,10.803,0
2000000,DT,36.922,1,12.725,12.815,20.112,0
2000000,ABM,36.061,701381,13.883,12.793,25.651,1354
2000000,Reverie,27.515,2357,13.144,12.828,31.484,0
