Egress Lossy Fraction,Algorithm,RDMA Incast FCT Slowdown Avg,PFC Pauses,99th Percentile FCT (TCP),Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
0.2,DT,12.828,46817,57.109,31.156,10.827,0
0.2,ABM,18.129,131389,9.4596,12.134,6.7458,4192
0.2,Reverie,12.459,24981,5.603,31.279,15.414,0
0.4,DT,13.629,46633,5.8466,30.703,15.865,0
0.4,ABM,18.365,135297,5.0785,12.24,12.451,4192
0.4,Reverie,12.476,23935,5.5914,31.276,15.417,0
0.6,DT,13.674,50173,5.7496,30.867,15.865,0
0.6,ABM,18.508,132997,5.2983,12.202,15.324,4192
0.6,Reverie,12.445,24897,5.6025,31.24,15.42,0
0.8,DT,13.72,37873,5.7609,31.317,16.032,0
0.8,ABM,18.462,112017,5.4189,12.527,15.907,5240
0.8,Reverie,12.618,19437,5.6031,31.849,15.63,0
