RDMA Burst Size,Algorithm,RDMA Background FCT Slowdown Avg,PFC Pauses,RDMA Background FCT Slowdown 99%,Lossless Buffer 99% (%),Lossy Buffer 99% (%),Headroom Buffer 99% (Bytes)
500000,DT,2.1089,1,6.4974,1.8679,0,0
500000,ABM,2.1108,12497,6.4949,1.8721,0,0
500000,Reverie,2.1085,1,6.5156,1.8708,0,0
1000000,DT,2.1242,1,6.655,4.6836,0,0
1000000,ABM,2.1359,22961,6.7289,4.246,0,0
1000000,Reverie,2.1223,1,6.6625,4.6836,0,0
1500000,DT,2.1339,1,6.7399,4.8113,0,0
1500000,ABM,2.1477,23181,6.8829,4.3106,0,0
1500000,Reverie,2.1345,1,6.727,4.8178,0,0
2500000,DT,2.1508,1,6.8492,4.8497,0,0
2500000,ABM,2.1609,23557,6.9674,4.3511,0,0
2500000,Reverie,2.1506,1,6.8463,4.7748,0,0
