RDMA Load,Algorithm,Short FCT Avg,PFC Pauses,RDMA Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
0.2,DT,16.4822,0,1.78816,0.584674,16.7315
0.2,ABM,9.93379,60,1.78538,0.542912,23.2805
0.2,Reverie,9.73107,0,1.78315,0.542912,23.3526
0.4,DT,14.3102,0,2.13209,1.50682,16.5969
0.4,ABM,10.0308,328,2.11715,1.50345,22.4737
0.4,Reverie,9.78746,88,2.13339,1.50345,22.5241
0.6,DT,14.874,0,2.47473,2.08421,16.3014
0.6,ABM,10.0304,3464,2.4661,2.07333,21.8535
0.6,Reverie,9.86463,140,2.46668,2.0754,21.9211
0.8,DT,17.2521,856,4.32355,12.7011,18.2185
0.8,ABM,10.6259,642032,4.40473,12.5429,22.567
0.8,Reverie,10.4891,3624,4.372,12.8223,22.6058
