TCP Burst Size,Algorithm,Short FCT Avg,PFC Pauses,RDMA Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
12500,DT,0.667758,0,3.61603,10.6654,0
12500,ABM,0.667393,280564,3.70975,10.9067,0
12500,Reverie,0.667758,0,3.61603,10.6654,0
500000,DT,6.16593,0,3.92128,11.9038,0
500000,ABM,6.16564,438460,3.95468,11.8532,0
500000,Reverie,6.16593,0,3.92128,11.9038,0
1000000,DT,8.90335,148,4.13556,12.3157,10.5552
1000000,ABM,8.77977,543464,4.15968,12.2532,10.5718
1000000,Reverie,8.67829,24,4.14411,12.3907,10.5783
1500000,DT,17.2521,856,4.32355,12.7011,18.2185
1500000,ABM,10.6259,642032,4.40473,12.5429,22.567
1500000,Reverie,10.4891,3624,4.372,12.8223,22.6058
