TCP Load,Algorithm,Short FCT 95%,PFC Pauses,TCP Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
0.2,DT,10.7517,16508,14.1242,31.3998,29.6111
0.2,ABM,20.5086,84312,10.1274,12.849,20.8299
0.2,Reverie,10.3904,8220,11.7676,31.8014,27.8957
0.4,DT,12.7182,50000,17.1072,29.2717,36.9628
0.4,ABM,19.0472,140752,9.83514,12.8089,22.6678
0.4,Reverie,11.2514,21332,12.5253,30.6771,31.4899
0.6,DT,15.5045,70464,22.3084,27.505,40.2846
0.6,ABM,18.1511,133538,9.65026,12.1286,23.2805
0.6,Reverie,12.1262,29860,12.3684,30.2756,33.1236
0.8,DT,18.9717,57248,48.9271,25.5776,42.0274
0.8,ABM,17.8869,81498,8.54389,11.7248,24.0973
0.8,Reverie,13.2138,25076,11.4334,30.3559,35.2474
