RDMA Load,Algorithm,Short FCT Avg,PFC Pauses,RDMA Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
0.2,DT,14.5487,0,3.76867,0.142146,5.65801
0.2,ABM,13.0587,4,3.72105,0.16705,1.47034
0.2,Reverie,9.29762,0,3.77364,0.138774,7.86858
0.4,DT,13.6357,0,4.16621,0.918774,2.69563
0.4,ABM,11.6977,12,4.19196,0.93433,0.408429
0.4,Reverie,9.02599,0,4.21715,0.91954,5.06452
0.6,DT,12.7959,0,4.84146,1.53119,4.62031
0.6,ABM,11.4382,36,4.73668,1.53716,1.26613
0.6,Reverie,7.84142,0,4.75087,1.53119,7.47425
0.8,DT,14.5494,0,14.6122,6.98414,3.18575
0.8,ABM,13.8363,9324,14.9393,6.96728,1.12444
0.8,Reverie,6.9215,0,14.7181,7.02644,5.71801
