TCP Burst Size,Algorithm,Short FCT Avg,PFC Pauses,RDMA Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
12500,DT,0.749348,0,13.3702,6.96184,0
12500,ABM,0.748561,4892,13.8509,6.90659,0
12500,Reverie,0.748359,0,13.394,6.88636,0
500000,DT,4.89185,0,14.0608,6.94107,0
500000,ABM,4.90396,6924,14.2283,6.95172,0
500000,Reverie,4.90191,0,13.7983,6.91877,0
1000000,DT,6.18693,0,14.0939,6.97119,0
1000000,ABM,17.995,8392,13.9004,6.96651,0
1000000,Reverie,6.13121,0,14.3738,6.95444,0
1500000,DT,14.5494,0,14.6122,6.98414,3.18575
1500000,ABM,13.8363,9324,14.9393,6.96728,1.12444
1500000,Reverie,6.9215,0,14.7181,7.02644,5.71801
