TCP Load,Algorithm,Short FCT 95%,PFC Pauses,TCP Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
0.2,DT,11.6312,256,16.3737,9.07693,30.5505
0.2,ABM,12.6148,16184,12.9663,3.33272,25.9352
0.2,Reverie,11.4765,16,15.834,9.2777,32.6335
0.4,DT,12.0662,384,20.9149,6.62529,37.0037
0.4,ABM,11.7194,17300,13.9756,2.89563,28.8759
0.4,Reverie,12.2093,112,17.4046,6.86621,37.6572
0.6,DT,13.4359,928,28.4828,5.05931,41.3033
0.6,ABM,10.0558,19368,14.5499,3.41303,29.2027
0.6,Reverie,13.3733,52,18.3233,5.17364,39.5359
0.8,DT,14.5939,1980,43.7478,6.65762,43.3752
0.8,ABM,9.97996,26040,13.9618,5.01916,30.2646
0.8,Reverie,14.1849,116,18.3145,5.62146,41.0378
