RDMA Burst Size,Algorithm,Short FCT Avg,PFC Pauses,TCP Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
500000,DT,5.77843,0,5.38194,0,9.35303
500000,ABM,5.79955,4720,5.40243,0,9.35303
500000,Reverie,5.7812,0,5.37155,0,9.28146
1000000,DT,7.71591,0,5.45696,0.0401533,9.39387
1000000,ABM,8.87834,13936,5.3702,0.0401533,9.35303
1000000,Reverie,7.71719,0,5.44391,0.0424521,9.39387
1500000,DT,12.765,120,5.51496,3.27341,9.35303
1500000,ABM,9.65743,21796,5.52873,2.25088,9.39387
1500000,Reverie,12.7202,56,5.53281,3.65395,9.39387
2000000,DT,14.3027,16,5.55939,5.31249,9.47556
2000000,ABM,9.69601,19420,5.4791,4.41686,9.47556
2000000,Reverie,14.2992,0,5.57171,5.21992,9.51034
