RDMA Load,Algorithm,Short FCT Avg,PFC Pauses,RDMA Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
0.2,DT,17.8291,0,3.76533,0.138774,5.63632
0.2,ABM,21.8431,0,3.72686,0.138774,1.57372
0.2,Reverie,10.0905,0,3.78378,0.138774,7.84184
0.4,DT,17.3317,0,4.15861,0.925517,2.73648
0.4,ABM,20.7076,8,4.16107,0.927739,0.449272
0.4,Reverie,9.53946,0,4.16845,0.920843,5.11295
0.6,DT,17.6276,0,4.7839,1.53042,4.69693
0.6,ABM,20.7268,48,4.80139,1.53456,2.08299
0.6,Reverie,8.18678,0,4.78433,1.52912,7.501
0.8,DT,19.9546,0,14.7399,6.95303,3.26743
0.8,ABM,26.1671,9524,14.3841,6.96651,1.10529
0.8,Reverie,7.03977,0,14.907,6.98284,5.72054
