TCP Load,Algorithm,Short FCT 95%,PFC Pauses,TCP Short FCT 99%,Lossless Buffer (%),Lossy Buffer (%)
0.2,DT,11.5936,0,5.96557,9.1951,5.10536
0.2,ABM,12.7408,16640,5.63867,3.49333,5.14621
0.2,Reverie,11.5936,0,5.96557,9.1951,5.10536
0.4,DT,11.9972,0,5.34813,6.46467,6.82077
0.4,ABM,11.8322,17252,5.31336,3.33272,6.69824
0.4,Reverie,11.9972,0,5.34813,6.46467,6.82077
0.6,DT,13.2811,12,5.62305,5.46084,8.0869
0.6,ABM,10.3988,18640,5.63517,3.49333,8.16858
0.6,Reverie,13.4366,16,5.7429,4.93885,8.16858
0.8,DT,14.3027,16,5.55934,5.31249,9.47556
0.8,ABM,9.69601,19420,5.47575,4.41686,9.47556
0.8,Reverie,14.2992,0,5.57097,5.21992,9.51034
